"name","cuisine","visited","rating","notes","gps","googleUrl","originalUrl"
"Golden Meals","Mediterranean",,"low",,"29.4587437,-98.4705743","https://maps.google.com/maps?q=+%4029.4587437,-98.4705743","https://www.google.com/maps/place/Golden+Meals/data=!4m2!3m1!1s0x865cf50fec227f67:0xcb0dcaa043f8d29e"
"Goro's Sushi","Japanese / Sushi",,"high",,"29.5134314,-98.5384449","https://maps.google.com/maps?q=+%4029.5134314,-98.5384449","https://www.google.com/maps/place/Goro's+Sushi+Restaurant/data=!4m2!3m1!1s0x865c5f8295216033:0x1ec675390b0dda24"
"Grey Moss Inn","Mexican","✓","high",,"29.6193129,-98.6875534","https://maps.google.com/maps?q=+%4029.6193129,-98.6875534","https://www.google.com/maps/place/Grey+Moss+Inn+-+Cocina+Mexicana/data=!4m2!3m1!1s0x865c6f3e2bef4d3b:0xb11256e1c5b378"
"Guajillo’s","Mexican",,"medium",,"29.5211829,-98.509569","https://maps.google.com/maps?q=+%4029.5211829,-98.509569","https://www.google.com/maps/place/Guajillo%E2%80%99s+The+Shortcut+to+Mexico/data=!4m2!3m1!1s0x865c6074ba0273fd:0x3d1552dad6f4b10f"
"Habibi Cafe","Mediterranean",,"low",,"29.4761266,-98.4648179","https://maps.google.com/maps?q=+%4029.4761266,-98.4648179","https://www.google.com/maps/place/Habibi+Cafe/data=!4m2!3m1!1s0x865cf57529b95a91:0x6de281df52ef633d"
"Henry's Puffy Tacos","Mexican","✓","low",,"29.4835376,-98.6072062","https://maps.google.com/maps?q=+%4029.4835376,-98.6072062","https://www.google.com/maps/place/Henry's+Puffy+Tacos/data=!4m2!3m1!1s0x865c5dbcd1e85469:0x3dee2f54715b2430"
"Hoka Hoka Fuku","Japanese / Ramen",,"high","Rec from Kisa","29.5563759,-98.6710721","https://maps.google.com/maps?q=+%4029.5563759,-98.6710721","https://www.google.com/maps/place/Hoka+Hoka+Fuku/data=!4m2!3m1!1s0x865c69b4e8d0613d:0x3563c61b2d142db0"
"Hola!","Spanish",,"high",,"29.4178988,-98.4910298","https://maps.google.com/maps?q=+%4029.4178988,-98.4910298","https://www.google.com/maps/place/Hola!/data=!4m2!3m1!1s0x865c59e704db8e53:0xd9be51b326b6b885"
"Hot Joy","Bar",,"high",,"29.4356884,-98.4823355","https://maps.google.com/maps?q=+%4029.4356884,-98.4823355","https://www.google.com/maps/place/Hot+Joy/data=!4m2!3m1!1s0x865c58a5f5b28671:0xa5657755acf2fcae"
"Hugo's","Japanese / Sushi","✓","medium",,"29.4605017,-98.6418994","https://maps.google.com/maps?q=+%4029.4605017,-98.6418994","https://www.google.com/maps/place/Hugo's+Sushi+and+Asian+Cuisine/data=!4m2!3m1!1s0x865c5d35a2bca4ed:0x48e8c103e3abb511"
